id,question
"1","Tìm nhà ở Cầu Giấy giá khoảng 4 tỷ "
"2","Có nhà nào ở Cầu Giấy giá khoảng 4 tỷ không?"
"3","Tìm mua nhà tại quận Cầu Giấy giá khoảng 4 tỷ"
"4","Cho hỏi có nhà nào ở Cầu Giấy tầm 4 tỷ không?"
"5","Cầu Giấy tầm 4 tỷ có căn nào đẹp không?"
"6","Tư vấn nhà 4 tỷ ở Cầu Giấy giúp tôi"
"7","Gợi ý vài nhà ở Cầu Giấy giá khoảng 4 tỷ"
"8","Có nhà 5 tầng tại Thanh Xuân giá tầm 6 tỷ không?"
"9","Cần mua nhà 5 tầng tại Thanh Xuân tầm 6 tỷ"
"10","Muốn mua nhà 5 tầng khu Thanh Xuân giá khoảng 6 tỷ"
"11","Tư vấn giúp nhà 5 tầng ở Thanh Xuân tầm giá 6 tỷ"
"12","Có nhà 5 tầng ở Thanh Xuân giá khoảng 6 tỷ không?"
"13","Tìm biệt thự gần Hồ Tây dưới 30 tỷ"
"14","Có biệt thự nào gần Hồ Tây giá dưới 30 tỷ không?"
"15","Có căn biệt thự nào gần Hồ Tây giá khoảng 30 tỷ đổ lại không?"
"16","Cần mua biệt thự tại khu vực Hồ Tây giá khoảng 30 tỷ trở xuống"
"17","Tìm nhà tại Hà Đông giá dưới 3 tỷ"
"18","Có nhà nào ở Hà Đông giá dưới 3 tỷ không?"
"19","Tìm mua nhà ở Hà Đông giá tầm dưới 3 tỷ"
"20","Tư vấn giúp nhà ở Hà Đông giá tầm 3 tỷ"
"21","Cần nhà riêng ở Hoàng Mai giá 5 đến 6 tỷ"
"22","Có nhà riêng nào ở Hoàng Mai giá 5–6 tỷ không?"
"23","Tư vấn giúp nhà riêng tại Hoàng Mai giá tầm 5–6 tỷ"
"24","Có nhà đất tại Bắc Từ Liêm giá rẻ hơn 4 tỷ không?"
"25","Cần mua nhà đất tại Bắc Từ Liêm giá rẻ hơn 4 tỷ"
"26","Tìm nhà đất khu Bắc Từ Liêm giá khoảng 4 tỷ đổ lại"
"27","Có căn nhà đất nào ở Bắc Từ Liêm giá khoảng 4 tỷ đổ về không?"
"28","Tìm nhà mặt phố ở Hai Bà Trưng giá khoảng 7 tỷ"
"29","Có căn nhà mặt phố nào ở Hai Bà Trưng giá tầm 7 tỷ không?"
"30","Cần nhà mặt phố chính chủ tại Hai Bà Trưng giá khoảng 7 tỷ"
"31","Tư vấn giúp nhà mặt phố ở Hai Bà Trưng giá 7 tỷ"
"32","Mua nhà tại Nam Từ Liêm giá 6–8 tỷ"
"33","Cần mua nhà tại Nam Từ Liêm giá khoảng 6–8 tỷ"
"34","Cần nhà tại Nam Từ Liêm giá khoảng 6 đến 8 tỷ"
"35","Tư vấn giúp nhà tại Nam Từ Liêm giá từ 6 đến 8 tỷ"
"36","Cho tôi xem biệt thự ở Tây Hồ giá dưới 20 tỷ"
"37","Cho tôi xem vài căn biệt thự ở Tây Hồ giá tầm 20 tỷ"
"38","Có căn biệt thự nào ở Tây Hồ giá tầm 20 tỷ trở về không?"
"39","Tìm biệt thự khu vực Tây Hồ giá khoảng 20 tỷ đổ lại"
"40"," Có nhà ở gần ngã tư sở khoảng dưới 9 tỷ không"
"41","Cần mua nhà ở gần Ngã Tư Sở giá khoảng 9 tỷ đổ lại"
"42","Tư vấn giúp tôi nhà ở gần Ngã Tư Sở giá khoảng 9 tỷ"
"43","Tư vấn giúp tôi nhà ở gần Ngã Tư Sở giá khoảng 9 tỷ"
"44","Tìm nhà 40m2 tại Thanh Xuân giá 4 tỷ"
"45","Tìm nhà diện tích 40m² ở Thanh Xuân giá khoảng 4 tỷ"
"46","Có nhà diện tích 40m² ở Thanh Xuân giá tầm 4 tỷ không?"
"47","Có nhà 40m² ở Thanh Xuân giá loanh quanh 4 tỷ không?"
"48","Nhà 40m² tại Thanh Xuân giá khoảng 3,8–4,2 tỷ có không?"
"49","Có nhà diện tích lớn hơn 60m ở Cầu Giấy khoảng 6 tỷ không?"
"50","Cần mua nhà ở Cầu Giấy diện tích hơn 60m² giá tầm 6 tỷ"
"51","Tư vấn giúp tôi nhà ở Cầu Giấy diện tích trên 60m² giá khoảng 6 tỷ"
"52","Có nhà ở Cầu Giấy diện tích hơn 60m² giá khoảng 5,5–6,5 tỷ không?"
"53","Tìm nhà diện tích >60m² ở Cầu Giấy giá loanh quanh 6 tỷ"
"54","Mua nhà dưới 50m2 tại Hà Đông dưới 5 tỷ"
"55","Cần mua nhà nhỏ hơn 50m² tại Hà Đông giá khoảng 5 tỷ đổ lại"
"56","Có nhà nào ở Hà Đông diện tích dưới 50m² giá dưới 5 tỷ không?"
"57","Tìm mua nhà Hà Đông diện tích <50m² giá dưới 5 tỷ"
"58","Nhà 35m2 ở Hoàng Mai giá 3 tỷ còn không?"
"59","Có căn nhà nào ở Hoàng Mai diện tích 35m² giá tầm 3 tỷ không?"
"60","Tư vấn giúp tôi nhà 35m² ở Hoàng Mai giá khoảng 3 tỷ"
